Title,Authors,Link
Practical Continual Forgetting for Pre-trained Vision Models,"['Hongbo Zhao', 'Fei Zhu', 'Bolin Ni', 'Feng Zhu', 'Gaofeng Meng', 'Zhaoxiang Zhang']",https://arxiv.org//pdf/2501.09705
Cueless EEG imagined speech for subject identification: dataset and benchmarks,"['Ali Derakhshesh', 'Zahra Dehghanian', 'Reza Ebrahimpour', 'Hamid R. Rabiee']",https://arxiv.org//pdf/2501.09700
Incorporating Quantum Advantage in Quantum Circuit Generation through Genetic Programming,"['Christoph Stein', 'Michael Färber']",https://arxiv.org//pdf/2501.09682
Authenticated Delegation and Authorized AI Agents,"['Tobin South', 'Samuele Marro', 'Thomas Hardjono', 'Robert Mahari', 'Cedric Deslandes Whitney', 'Dazza Greenwood', 'Alan Chan', 'Alex Pentland']",https://arxiv.org//pdf/2501.09674
Robin: a Suite of Multi-Scale Vision-Language Models and the CHIRP Evaluation Benchmark,"['Alexis Roger', 'Prateek Humane', 'Daniel Z. Kaplan', 'Kshitij Gupta', 'Qi Sun', 'George Adamopoulos', 'Jonathan Siu Chi Lim', 'Quentin Anthony', 'Edwin Fennell', 'Irina Rish']",https://arxiv.org//pdf/2501.09672
The Heap: A Contamination-Free Multilingual Code Dataset for Evaluating Large Language Models,"['Jonathan Katzy', 'Razvan Mihai Popescu', 'Arie van Deursen', 'Maliheh Izadi']",https://arxiv.org//pdf/2501.09653
Beyond Reward Hacking: Causal Rewards for Large Language Model Alignment,"['Chaoqi Wang', 'Zhuokai Zhao', 'Yibo Jiang', 'Zhaorun Chen', 'Chen Zhu', 'Yuxin Chen', 'Jiayi Liu', 'Lizhu Zhang', 'Xiangjun Fan', 'Hao Ma', 'Sinong Wang']",https://arxiv.org//pdf/2501.09620
Metric Learning with Progressive Self-Distillation for Audio-Visual Embedding Learning,"['Donghuo Zeng', 'Kazushi Ikeda']",https://arxiv.org//pdf/2501.09608
Managed-Retention Memory: A New Class of Memory for the AI Era,"['Sergey Legtchenko', 'Ioan Stefanovici', 'Richard Black', 'Antony Rowstron', 'Junyi Liu', 'Paolo Costa', 'Burcu Canakci', 'Dushyanth Narayanan', 'Xingbo Wu']",https://arxiv.org//pdf/2501.09605
Reducing the Sensitivity of Neural Physics Simulators to Mesh Topology via Pretraining,"['Nathan Vaska', 'Justin Goodwin', 'Robin Walters', 'Rajmonda S. Caceres']",https://arxiv.org//pdf/2501.09597
IFRA: a machine learning-based Instrumented Fall Risk Assessment Scale derived from Instrumented Timed Up and Go test in stroke patients,"['Simone Macciò', 'Alessandro Carfì', 'Alessio Capitanelli', 'Peppino Tropea', 'Massimo Corbo', 'Fulvio Mastrogiovanni', 'Michela Picardi']",https://arxiv.org//pdf/2501.09595
MatrixNet: Learning over symmetry groups using learned group representations,"['Lucas Laird', 'Circe Hsu', 'Asilata Bapat', 'Robin Walters']",https://arxiv.org//pdf/2501.09571
Text-driven Adaptation of Foundation Models for Few-shot Surgical Workflow Analysis,"['Tingxuan Chen', 'Kun Yuan', 'Vinkle Srivastav', 'Nassir Navab', 'Nicolas Padoy']",https://arxiv.org//pdf/2501.09555
Class Incremental Fault Diagnosis under Limited Fault Data via Supervised Contrastive Knowledge Distillation,"['Hanrong Zhang', 'Yifei Yao', 'Zixuan Wang', 'Jiayuan Su', 'Mengxuan Li', 'Peng Peng', 'Hongwei Wang']",https://arxiv.org//pdf/2501.09525
MonoSOWA: Scalable monocular 3D Object detector Without human Annotations,"['Jan Skvrna', 'Lukas Neumann']",https://arxiv.org//pdf/2501.09481
Predicting Air Temperature from Volumetric Urban Morphology with Machine Learning,"['Berk Kıvılcım', 'Patrick Erik Bradley']",https://arxiv.org//pdf/2501.09469
RE-POSE: Synergizing Reinforcement Learning-Based Partitioning and Offloading for Edge Object Detection,"['Jianrui Shi', 'Yong Zhao', 'Zeyang Cui', 'Xiaoming Shen', 'Minhang Zeng', 'Xiaojie Liu']",https://arxiv.org//pdf/2501.09465
Solving the unsolvable: Translating case law in Hong Kong,"['King-kui Sin', 'Xi Xuan', 'Chunyu Kit', 'Clara Ho-yan Chan', 'Honic Ho-kin Ip']",https://arxiv.org//pdf/2501.09444
ADAGE: A generic two-layer framework for adaptive agent based modelling,"['Benjamin Patrick Evans', 'Sihan Zeng', 'Sumitra Ganesh', 'Leo Ardon']",https://arxiv.org//pdf/2501.09429
Dynamic Neural Style Transfer for Artistic Image Generation using VGG19,"['Kapil Kashyap', 'Mehak Garg', 'Sean Fargose', 'Sindhu Nair']",https://arxiv.org//pdf/2501.09420
MoE$^2$: Optimizing Collaborative Inference for Edge Large Language Models,"['Lyudong Jin', 'Yanning Zhang', 'Yanhan Li', 'Shurong Wang', 'Howard H. Yang', 'Jian Wu', 'Meng Zhang']",https://arxiv.org//pdf/2501.09410
ELM-DeepONets: Backpropagation-Free Training of Deep Operator Networks via Extreme Learning Machines,['Hwijae Son'],https://arxiv.org//pdf/2501.09395
Quantum-Enhanced Transformers for Robust Acoustic Scene Classification in IoT Environments,"['Minh K. Quan', 'Mayuri Wijayasundara', 'Sujeeva Setunge', 'Pubudu N. Pathirana']",https://arxiv.org//pdf/2501.09394
Style4Rec: Enhancing Transformer-based E-commerce Recommendation Systems with Style and Shopping Cart Information,"['Berke Ugurlu', 'Ming-Yi Hong', 'Che Lin']",https://arxiv.org//pdf/2501.09354
Rational Tuning of LLM Cascades via Probabilistic Modeling,"['Michael J. Zellinger', 'Matt Thomson']",https://arxiv.org//pdf/2501.09345
Prompt-CAM: A Simpler Interpretable Transformer for Fine-Grained Analysis,"['Arpita Chowdhury', 'Dipanjyoti Paul', 'Zheda Mai', 'Jianyang Gu', 'Ziheng Zhang', 'Kazi Sajeed Mehrab', 'Elizabeth G. Campolongo', 'Daniel Rubenstein', 'Charles V. Stewart', 'Anuj Karpatne', 'Tanya Berger-Wolf', 'Yu Su', 'Wei-Lun Chao']",https://arxiv.org//pdf/2501.09333
